video_id,views,likes,comments,keyword,engagement_rate
G2Q63fOfJLo,7036588,56549,2050,yt,0.008327757714392259
2wmG8oX7W98,539450,6342,174,yt,0.01207896932060432
hho9ceOtC38,999632,29167,1671,yt,0.030849352561742722
gYPn3lbGRRc,6047704,20163,2120,yt,0.0036845387935652936
5ZShNPgDvog,1012043,16560,102,yt,0.01646372733174381
Pc0CxmFlabw,75684360,1362388,147620,yt,0.019951387578622585
KEgI259wIrc,0,,,yt,
d3Fi0k70r2U,570997,5767,305,yt,0.010634031352178733
qJiuRkuL1qo,218954,9875,604,yt,0.04785936772107383
vMEXyGYnIII,20358861,620933,4815,yt,0.030735904135305015
aUh64TXPjkE,9773774,215390,,yt,0.022037546601752812
XWq5kBlakcQ,105605004,145148,,yt,0.0013744424459280358
LeKzvbBb5QQ,34080279,65404,23626,yt,0.0026123612426999206
4V0uYRtPyfE,1399469,4461,,yt,0.0031876375968313696
7NOSDKb0HlU,38330805,325802,2,yt,0.008499795399548744
F12PJgyVKyA,1537291,45792,1427,yt,0.030715720055604308
RTWhvp_OD6s,623534685,1220846,,yt,0.0019579440075574947
36YnV9STBqc,186959875,587503,2,yt,0.003142412242199028
radB4qbp_H0,265693564,2722954,32213,yt,0.010369716746319079
HVyJEIgRmCE,157266,7576,319,yt,0.05020156931568171
5yx6BWlEVcY,56911193,380664,6,yt,0.00668884238641773
Xdsg_0fhT5Y,3398190,3490,498,yt,0.0011735659277438873
JrYZSj0E9ZQ,8074324,120922,1659,yt,0.015181580526122063
QvyAIrL2BbA,35644843,131691,287,yt,0.0037025832881351166
TeQ_TTyLGMs,479789441,1857510,,yt,0.0038715107946696143
4_Vp3FhrzTk,71809792,2209882,32395,yt,0.03122522621984478
wNcN9pl0zhU,9912405,22935,,yt,0.0023137674459427354
IREN9O3eVkI,0,,,yt,
rGfSHJ3nJEI,2396025,50195,1093,yt,0.021405452781168812
bwCn1YZ3zOg,2579038,4289,1788,yt,0.0023563049478138747
oCSVRmibbxo,20835,,4,yt,0.0001919846412287017
9M9Tdn-tu34,2837499,,,yt,0.0
lJ5kbKSbruI,86987643,2509385,17180,yt,0.029045102417592807
cI0zN1nG3PQ,17955363,65396,1,yt,0.0036421987124404
kRXmAIHYQR4,256457986,764130,,yt,0.0029795523700322595
mu5JfSI9Utc,1015784,24932,666,yt,0.025200239420979265
U5bQKOdvRAk,71837231,896279,,yt,0.012476524881645286
ljBAlUOQAGE,9097031,24992,,yt,0.0027472699609356064
xL0ch83RAK8,272978711,101396,,yt,0.00037144288515597834
vwnXqmgNBEw,1804303,3318,,yt,0.0018389372516700354
6V-EmRSQ_pc,0,,,yt,
GZLoryyjubQ,12912749,756507,17935,yt,0.05997499060811915
TGp6OhNZdQs,1032909,20646,825,yt,0.020786923146182287
zsCEHnbPi8Y,516245,23163,,yt,0.044868231169309145
QTdD40Ay59g,16662440,340611,,yt,0.0204418440516515
jdJoOhqCipA,2526297520,2003944,2,yt,0.0007932343614064902
-t-qUpxhfhE,391866,4381,158,yt,0.011583041141614736
UqFzfqlb60g,31158500,17171,,yt,0.0005510855785740648
jjhgrH-cTzY,308228,10556,513,yt,0.03591172768210545
nt3Ggo1CE3g,18482976,172378,5483,yt,0.009622963314998624
Ybt4f0fhvHE,1233426,14178,17,yt,0.011508594759636979
EuYIkzmm7zA,458985,12865,112,yt,0.02827325511726963
JhW6kRvJSLs,510518,18649,164,yt,0.03685080643581617
cVPTkNKtFtU,2056041,46147,,yt,0.022444591328674865
EurjOOin3h0,58576761,125734,,yt,0.0021464826298606713
b19zwJyAsMA,2264379,107605,2585,yt,0.04866234848494885
UCEC4mydSZ8,3708804,138286,1022,yt,0.03756143489922897
QosPlh350_g,251643005,2744318,9245,yt,0.010942338731013008
kQDw88hEr2c,176502977,491901,,yt,0.0027869274975458346
GCybnElnyAc,1381424,11496,98,yt,0.008392788890304497
EE0Lapvoflo,20848872,977516,20591,yt,0.04787342931550446
U48-OZhcN78,9368382,232172,1050,yt,0.02489458692013199
4xTN1NQhRlM,54803512,1568152,7400,yt,0.02874910644412716
DkJ-50GLi2I,16815677,18789,2458,yt,0.0012635233181512704
SxGuFZS6dzI,35732381,1464214,37027,yt,0.04201346112367939
9zDC_E23DNg,461458,15930,80,yt,0.03469438172054662
ziXqzFbhs4k,414172918,607430,,yt,0.001466609654086557
4E9drlZ0Vns,16650291,588272,7501,yt,0.03578153679115879
hWKyx46FAt4,1194655,6241,87,yt,0.005296926727800076
nlVCrUXEFwo,214241271,525821,,yt,0.0024543403684344272
r4KTqce-9Z0,130486687,221275,,yt,0.0016957668639406868
tLVR9Wc1xTA,7239007,225995,3083,yt,0.03164494798803206
nKcEr95YH8M,383653,6155,68,yt,0.016220386651479332
8JW6qzPCkE8,192695037,1451151,29912,yt,0.007686046423707321
SORD03t7nlo,21016764,97206,,yt,0.004625164939759518
IPLaajIJq8M,6647787,18752,,yt,0.002820788331515435
A0azOIk0Kvg,67727664,468963,,yt,0.006924245903416956
