video_id,views,likes,comments,keyword,engagement_rate
jNQXAC9IVRw,372175317,18232746,10454320,yt,0.07707944264342495
aBfUFr9SBY0,5707955,176335,17332,yt,0.033929314439234366
684PCvBxBHY,696896,39084,3410,yt,0.06097609973367619
LeAltgu_pbM,6017592,248876,38503,yt,0.047756478006484984
rdwz7QiG0lk,3881898,106221,28936,yt,0.03481724661492909
Wz1W_omigwg,42447742,73777,13505,yt,0.0020562224487700666
VaLXzI92t9M,3736846,103177,18119,yt,0.03245945912676091
_r0n9Dv6XnY,394776370,1811051,63639,yt,0.004748739140592432
9_wU0qhEPR8,5504179,249924,35458,yt,0.05184824112733252
QjA5faZF1A8,95266095,728253,133599,yt,0.009046786267454334
Acnkz1_Sm6A,378,4,4,yt,0.021164021164021163
UGaUKf43r6s,748430,9867,3065,yt,0.01727883703218738
TE4EEwQAfxo,3642631,223471,7447,yt,0.06339319025177131
fNCtWaGMW4w,2665920,163438,14633,yt,0.0667953276917537
-anabfAg06U,7430403,108310,8340,yt,0.015699013902745248
725iONdAu9Q,14643274,73426,5831,yt,0.005412519085554228
3zhBhOFcKwU,4691302,28612,2367,yt,0.006603497280712263
jhxIjRO6WjI,20708821,89133,4685,yt,0.00453033999376401
qFyIT7rVZ0Q,1175284,5523,,yt,0.004699289703595046
OYecfV3ubP8,11569180,22834,6645,yt,0.0025480630433617596
NHuGG_FsC20,18753625,85187,15135,yt,0.0053494724353291695
ipzR9bhei_o,31006907,128804,15323,yt,0.004648222410574521
Jz5GURwssEg,29268,84,32,yt,0.003963372967063004
4mtfnfQoAco,82922914,631299,27397,yt,0.007943473862966273
PSTHMxBttlU,8567665,31210,2292,yt,0.003910283607027119
m1TnzCiUSI0,34004241,207126,11925,yt,0.006441872941672188
z6WMbV5Op58,15667450,262236,10324,yt,0.017396576979661654
4YJ3BTKMILw,17353090,109286,13167,yt,0.007056553040409518
GPX061Jvl1A,2625569,5325,939,yt,0.0023857685705460418
gRlj5vjp3Ko,17865369,38288,3544,yt,0.0023415133490945527
N2rZxCrb7iU,15587916,66407,12176,yt,0.005041276845474405
LlvUepMa31o,28257658,91795,11351,yt,0.0036501963467743858
D2kJZOfq7zk,42217728,189419,32774,yt,0.005263025997040864
KQwPao3Shk4,1148670,3196,461,yt,0.003183681997440518
afgSUDS7djY,1126334,1651,228,yt,0.0016682440554933084
lkFMJ4-ai1I,12151206,90108,7233,yt,0.00801080979122566
MhrkXsMCEK8,1495927,5720,613,yt,0.004233495351043199
UMf40daefsI,34757784,439290,62555,yt,0.014438348543739153
W69SSLfRJho,132126229,551596,59168,yt,0.004622579518257499
tBlxFBDTYGQ,558372,1416,228,yt,0.002944273709999785
MfzpWE2n8ZY,6032969,39212,9500,yt,0.008074299735337609
EhgUyhOJMrw,6557096,9967,2178,yt,0.0018521918849441887
i0fAEJQtqnU,12275631,97086,5216,yt,0.008333746754036513
